period_start,ticker,risk_profile,actual_sharpe,actual_fwd_vol,classification_correct,split
2024-01-01,ETEL,conservative,-0.6124370050970789,0.34122878313064575,1.0,test
2024-01-01,EXPA,,2.311228796203791,0.6217432618141174,,test
2024-01-01,FAIT,conservative,7.907404843010339,0.23373346030712128,1.0,test
2024-01-01,FAITA,,0.4659009532503076,0.026029853150248528,,test
2024-01-01,FWRY,balanced,-1.5003674610650064,0.3410246670246124,0.0,test
2024-01-01,GBCO,balanced,0.7749195741866217,0.5393497943878174,1.0,test
2024-01-01,GDWA,,6.430085268608928,0.8514426946640015,,test
2024-01-01,HDBK,,4.494329514741335,0.498190313577652,,test
2024-01-01,HELI,conservative,-0.3745416041791708,0.371832013130188,1.0,test
2024-01-01,HRHO,conservative,4.0700143688575245,0.35048046708106995,1.0,test
2024-01-01,IRON,,-0.24833203438056417,0.49946078658103943,,test
2024-01-01,ISPH,balanced,-1.1274775501848044,0.4854430556297302,1.0,test
2024-01-01,JUFO,conservative,3.4968439724124676,0.41997185349464417,1.0,test
2024-01-01,MASR,balanced,-0.6311192904607489,0.5222606062889099,1.0,test
2024-01-01,MCQE,,-1.397480896825645,0.4587791860103607,,test
2024-01-01,MFPC,aggressive,4.405982324831711,0.6806073188781738,1.0,test
2024-01-01,MTIE,,1.7365619249456308,0.6944958567619324,,test
2024-01-01,OCDI,,1.3734812638620406,0.35059085488319397,,test
2024-01-01,OFH,,5.585350532382425,0.4263673722743988,,test
2024-01-01,OIH,,0.6867416499332888,0.5773324370384216,,test
2024-01-01,ORAS,conservative,2.7118619934947934,0.46204349398612976,0.0,test
2024-01-01,ORHD,aggressive,3.0025303898498827,0.6006222367286682,1.0,test
2024-01-01,ORWE,aggressive,4.468178321179238,1.0066956281661987,1.0,test
2024-01-01,PHAR,conservative,5.368860848671968,0.25876301527023315,1.0,test
2024-01-01,PHDC,aggressive,3.5719990962499772,0.6418430805206299,1.0,test
2024-01-01,PRDC,,5.159417344907765,0.44975170493125916,,test
2024-01-01,QNBE,,8.65987375101464,0.5164494514465332,,test
2024-01-01,RAYA,,5.420326387044825,1.0924912691116333,,test
2024-01-01,RMDA,,4.090007649865208,0.5805079340934753,,test
2024-01-01,SKPC,aggressive,5.885860264783119,0.7262712717056274,1.0,test
2024-01-01,SPMD,,-0.3636183439037437,0.6286215782165527,,test
2024-01-01,SUGR,aggressive,3.7795753138502794,0.7703264951705933,1.0,test
2024-01-01,SWDY,balanced,3.9796055042143377,0.434066504240036,1.0,test
2024-01-01,TALM,,4.766424090013309,0.5239889025688171,,test
2024-01-01,TMGH,aggressive,4.032947195427708,1.0090805292129517,1.0,test
2024-01-01,VLMR,,0.7865070852306523,0.2502731680870056,,test
2024-01-01,VLMRA,,1.6923995270842471,0.6681135296821594,,test
2024-07-01,ABUK,conservative,1.7547371952169062,0.3856968879699707,0.0,test
2024-07-01,ADIB,conservative,3.5970599517815347,0.3915601372718811,0.0,test
2024-07-01,ALCN,balanced,0.931117230813599,0.32380035519599915,1.0,test
2024-07-01,AMOC,balanced,-2.1956534946715576,0.26552823185920715,1.0,test
2024-07-01,ARCC,,1.4729267257122844,0.2539757192134857,,test
2024-07-01,ASPI,,5.179891757659904,0.25069308280944824,,test
2024-07-01,BINV,,3.102041257866583,0.3356926441192627,,test
2024-07-01,BTFH,balanced,2.577434053288444,0.2450983226299286,1.0,test
2024-07-01,CCAP,aggressive,4.640553349732844,0.49110841751098633,1.0,test
