semiannual_start,ticker,rl_risk_score,risk_profile,split
2022-02-24,ORHD,2.3672211468219757,aggressive,train
2022-02-24,ORWE,-2.882038633028666,conservative,train
2022-02-24,PHAR,-2.8034722805023193,conservative,train
2022-02-24,PHDC,0.9844346543153127,balanced,train
2022-02-24,PRDC,1.7121728261311848,balanced,train
2022-02-24,QNBE,1.150005966424942,balanced,train
2022-02-24,RAYA,2.6397094329198203,aggressive,train
2022-02-24,RMDA,0.7250139713287354,balanced,train
2022-02-24,SKPC,-1.2755308610697587,conservative,train
2022-02-24,SPMD,2.987136721611023,aggressive,train
2022-02-24,SUGR,2.622698346773783,aggressive,train
2022-02-24,SWDY,-1.310557226339976,conservative,train
2022-02-24,TALM,2.00400676826636,aggressive,train
2022-02-24,TMGH,-1.1687329610188801,balanced,train
2022-02-24,VLMR,-3.215886394182841,conservative,train
2022-02-24,VLMRA,0.15564371148745218,balanced,train
2022-09-07,ABUK,-2.727861523628235,conservative,train
2022-09-07,ADIB,-1.3120512167612712,conservative,train
2022-09-07,ALCN,2.856465498606364,aggressive,train
2022-09-07,AMOC,-0.9562543407082558,balanced,train
2022-09-07,ARAB,1.1656061112880707,aggressive,train
2022-09-07,ARCC,0.5159178165098032,balanced,train
2022-09-07,ASPI,1.2384176899989445,aggressive,train
2022-09-07,BINV,2.483533581097921,aggressive,train
2022-09-07,BTFH,3.0313601891199746,aggressive,train
2022-09-07,CCAP,2.2764709095160165,aggressive,train
2022-09-07,CICH,-1.4595622917016347,conservative,train
2022-09-07,CIEB,0.060856714844703674,balanced,train
2022-09-07,CIRA,-1.066186438004176,balanced,train
2022-09-07,CLHO,-1.8232712348302205,conservative,train
2022-09-07,COMI,-2.3243547280629477,conservative,train
2022-09-07,DSCW,2.752162297566732,aggressive,train
2022-09-07,EAST,-1.2589769462744396,balanced,train
2022-09-07,EFID,-0.6628985702991486,balanced,train
2022-09-07,EFIH,0.8794030795494715,balanced,train
2022-09-07,EGAL,2.036241145183643,aggressive,train
2022-09-07,EGCH,2.551919182141622,aggressive,train
2022-09-07,EGTS,0.747572984546423,balanced,train
2022-09-07,EMFD,-2.4880017836888633,conservative,train
2022-09-07,ETEL,-0.038977096478144325,balanced,train
2022-09-07,EXPA,-2.231740335623423,conservative,train
2022-09-07,FAIT,-1.9094992130994797,conservative,train
2022-09-07,FAITA,-3.0938342014948526,conservative,train
2022-09-07,FWRY,2.746456583340963,aggressive,train
2022-09-07,GBCO,2.81426994005839,aggressive,train
2022-09-07,GDWA,0.5495610448221365,balanced,train
2022-09-07,HDBK,-1.5376222915947437,conservative,train
2022-09-07,HELI,2.305423458417257,aggressive,train
