quarter_start,ticker,rl_risk_score,risk_profile,split
2022-09-07,BTFH,4.203897476196289,aggressive,train
2022-09-07,CCAP,3.8938369750976562,aggressive,train
2022-09-07,CICH,-2.1678243478139243,balanced,train
2022-09-07,CIEB,-1.2314134538173676,balanced,train
2022-09-07,CIRA,-2.7496357758839927,balanced,train
2022-09-07,CLHO,-2.7170642217000327,balanced,train
2022-09-07,COMI,-3.669513702392578,conservative,train
2022-09-07,DSCW,4.230513095855713,aggressive,train
2022-09-07,EAST,-3.781375010808309,conservative,train
2022-09-07,EFID,-1.8822404146194458,balanced,train
2022-09-07,EFIH,0.17014344533284506,balanced,train
2022-09-07,EGAL,4.1553215980529785,aggressive,train
2022-09-07,EGCH,3.851302703221639,aggressive,train
2022-09-07,EGTS,0.7118183771769205,balanced,train
2022-09-07,EMFD,-3.3921342690785727,conservative,train
2022-09-07,ETEL,-3.2507466475168862,conservative,train
2022-09-07,EXPA,-3.633791446685791,conservative,train
2022-09-07,FAIT,-3.8000102837880454,conservative,train
2022-09-07,FAITA,-3.778228839238485,conservative,train
2022-09-07,FWRY,4.257721741994222,aggressive,train
2022-09-07,GBCO,4.2561163902282715,aggressive,train
2022-09-07,GDWA,-1.2243623733520508,balanced,train
2022-09-07,HDBK,-3.808227856953939,conservative,train
2022-09-07,HELI,4.146653970082601,aggressive,train
2022-09-07,HRHO,0.10517676671346028,balanced,train
2022-09-07,IRON,-3.3335673809051514,conservative,train
2022-09-07,ISPH,4.044731616973877,aggressive,train
2022-09-07,JUFO,1.4345476229985554,balanced,train
2022-09-07,MASR,4.183585166931152,aggressive,train
2022-09-07,MCQE,-3.7508552074432373,conservative,train
2022-09-07,MFPC,-3.5831485589345298,conservative,train
2022-09-07,MTIE,4.258556048075358,aggressive,train
2022-09-07,OCDI,-2.1773891846338906,balanced,train
2022-09-07,OFH,3.6530493100484214,aggressive,train
2022-09-07,OIH,-1.3808107574780781,balanced,train
2022-09-07,ORAS,-2.977383613586426,balanced,train
2022-09-07,ORHD,3.523540814717611,balanced,train
2022-09-07,ORWE,-3.5636698404947915,conservative,train
2022-09-07,PHAR,-3.6225094000498452,conservative,train
2022-09-07,PHDC,1.3141719897588093,balanced,train
2022-09-07,PRDC,-3.2873100439707437,conservative,train
2022-09-07,QNBE,2.9833317597707114,balanced,train
2022-09-07,RAYA,4.212320009867351,aggressive,train
2022-09-07,RMDA,-2.6811267534891763,balanced,train
2022-09-07,SKPC,-3.130712111790975,conservative,train
2022-09-07,SPMD,4.286031723022461,aggressive,train
2022-09-07,SUGR,3.321019013722738,balanced,train
2022-09-07,SWDY,-0.9957850376764933,balanced,train
2022-09-07,TALM,4.091358184814453,aggressive,train
2022-09-07,TMGH,-3.2984309991200766,conservative,train
2022-09-07,VLMR,-3.7322431405385337,conservative,train
2022-09-07,VLMRA,-2.11767578125,balanced,train
2022-12-06,ABUK,-3.5104153156280518,conservative,train
2022-12-06,ADIB,-0.7113736470540365,balanced,train
2022-12-06,ALCN,3.997002124786377,aggressive,train
2022-12-06,AMOC,-0.3539285659790039,balanced,train
2022-12-06,ARAB,3.9394140243530273,aggressive,train
2022-12-06,ARCC,3.380403200785319,aggressive,train
2022-12-06,ASPI,1.5074095726013184,balanced,train
2022-12-06,BINV,3.341303984324137,aggressive,train
2022-12-06,BTFH,4.226678530375163,aggressive,train
